Quarter,Region,Revenue,COGS,GrossMargin%,OperatingExpenses,EBITDA,EBITDA%,CAC,LTV,LTV:CAC,Churn%,Headcount,ARPU,MRR,ARR,Target,Actual,Variance,Variance%
Q1 2022,Europe North,1200000,240000,80.0%,744000,216000,18.0%,5000,20000,4.0,1.5%,20,125,400000,4800000,1200000,1200000,0,0.0%
Q2 2022,Europe North,1250000,250000,80.0%,780000,220000,17.6%,5100,19890,3.9,1.5%,21,126,416667,5000000,1250000,1250000,0,0.0%
Q3 2022,Europe North,1300000,260000,80.0%,819000,221000,17.0%,5200,19760,3.8,1.6%,21,127,433333,5200000,1300000,1300000,0,0.0%
Q4 2022,Europe North,1400000,280000,80.0%,882000,238000,17.0%,5400,19980,3.7,1.6%,22,128,466667,5600000,1350000,1400000,50000,3.7%
Q1 2023,Europe North,1500000,300000,80.0%,952500,247500,16.5%,5500,19800,3.6,1.7%,23,129,500000,6000000,1450000,1500000,50000,3.4%
Q2 2023,Europe North,1600000,320000,80.0%,1024000,256000,16.0%,5600,20160,3.6,1.8%,24,131,533333,6400000,1550000,1600000,50000,3.2%
Q3 2023,Europe North,1700000,340000,80.0%,1100750,259250,15.3%,5800,20300,3.5,1.9%,25,133,566667,6800000,1650000,1700000,50000,3.0%
Q4 2023,Europe North,1800000,360000,80.0%,1170000,270000,15.0%,6000,20400,3.4,2.0%,26,134,600000,7200000,1800000,1800000,0,0.0%
Q1 2022,Europe South,1300000,260000,80.0%,845000,195000,15.0%,5200,20280,3.9,1.5%,20,128,433333,5200000,1400000,1300000,-100000,-7.1%
Q2 2022,Europe South,1400000,280000,80.0%,924000,196000,14.0%,5400,20520,3.8,1.7%,21,130,466667,5600000,1400000,1400000,0,0.0%
Q3 2022,Europe South,1500000,300000,80.0%,1035000,165000,11.0%,6400,19840,3.1,2.0%,22,132,500000,6000000,1450000,1500000,50000,3.4%
Q4 2022,Europe South,1700000,340000,80.0%,1224000,136000,8.0%,7500,19500,2.6,2.5%,24,134,566667,6800000,1550000,1700000,150000,9.7%
Q1 2023,Europe South,2300000,460000,80.0%,1840000,0,0.0%,11000,18700,1.7,3.5%,28,136,766667,9200000,1750000,2300000,550000,31.4%
Q2 2023,Europe South,2900000,580000,80.0%,2465000,-145000,-5.0%,14000,16800,1.2,4.5%,32,138,966667,11600000,1950000,2900000,950000,48.7%
Q3 2023,Europe South,3400000,680000,80.0%,3060000,-340000,-10.0%,18000,16200,0.9,6.5%,35,140,1133333,13600000,2150000,3400000,1250000,58.1%
Q4 2023,Europe South,3500000,700000,80.0%,3500000,-700000,-20.0%,20000,14000,0.7,8.0%,36,141,1166667,14000000,2400000,3500000,1100000,45.8%
